일자,평균
2020년 3월 15일,50936
2020년 3월 16일,71655
2020년 3월 17일,68733
2020년 3월 18일,72588
2020년 3월 19일,92211
2020년 3월 1일,44552
2020년 3월 20일,101731
2020년 3월 21일,92515
2020년 3월 22일,54423
2020년 3월 23일,72441
2020년 3월 24일,70868
2020년 3월 25일,72575
2020년 3월 26일,93887
2020년 3월 27일,96789
2020년 3월 28일,91113
2020년 3월 29일,52019
2020년 3월 2일,68781
2020년 3월 30일,54757
2020년 3월 31일,67891
2020년 3월 3일,67912
2020년 3월 4일,68618
2020년 3월 5일,92637
2020년 3월 6일,97918
2020년 3월 7일,85205
2020년 3월 8일,49855
2020년 3월 9일,68495
2020년 4월 10일,102984
2020년 4월 11일,94835
2020년 4월 12일,52331
2020년 4월 13일,74611
2020년 4월 14일,76078
2020년 4월 15일,64859
2020년 4월 16일,98981
2020년 4월 17일,102664
2020년 4월 18일,95858
2020년 4월 19일,53776
2020년 4월 1일,72415
2020년 4월 20일,71135
2020년 4월 21일,72936
2020년 4월 22일,75165
2020년 4월 23일,98877
2020년 4월 24일,103383
2020년 4월 25일,93433
2020년 4월 26일,51212
2020년 4월 27일,60026
2020년 4월 28일,44473
2020년 4월 29일,65852
2020년 4월 2일,96377
2020년 4월 30일,90546
2020년 4월 3일,101703
2020년 4월 4일,93742
2020년 4월 5일,56036
2020년 4월 6일,73448
2020년 4월 7일,69807
2020년 4월 8일,75755
2020년 4월 9일,98402
2020년 5월 10일,74022
2020년 5월 11일,94154
2020년 5월 12일,94303
2020년 5월 13일,97517
2020년 5월 14일,96260
2020년 5월 15일,96154
2020년 5월 16일,93689
2020년 5월 17일,78983
2020년 5월 18일,93529
2020년 5월 19일,90243
2020년 5월 1일,95610
2020년 5월 20일,97612
2020년 5월 21일,97787
2020년 5월 22일,100958
2020년 5월 23일,98387
2020년 5월 24일,75474
2020년 5월 25일,94875
2020년 5월 26일,94651
2020년 5월 27일,97972
2020년 5월 28일,85429
2020년 5월 29일,102245
2020년 5월 2일,93827
2020년 5월 30일,96566
2020년 5월 31일,77446
2020년 5월 3일,56521
2020년 5월 4일,74127
2020년 5월 5일,59858
2020년 5월 6일,83460
2020년 5월 7일,100565
2020년 5월 8일,105116
2020년 5월 9일,88863
2020년 6월 10일,97588
2020년 6월 11일,97820
2020년 6월 12일,100783
2020년 6월 13일,95720
2020년 6월 14일,76173
2020년 6월 15일,97488
2020년 6월 16일,93843
2020년 6월 17일,95070
2020년 6월 18일,93655
2020년 6월 19일,96581
2020년 6월 1일,96404
2020년 6월 20일,88915
2020년 6월 21일,70770
2020년 6월 22일,93573
2020년 6월 23일,164549
2020년 6월 24일,5117
2020년 6월 25일,89934
2020년 6월 26일,97008
2020년 6월 27일,88161
2020년 6월 28일,67695
2020년 6월 29일,85915
2020년 6월 2일,94670
2020년 6월 30일,78895
2020년 6월 3일,97976
2020년 6월 4일,96671
2020년 6월 5일,101392
2020년 6월 6일,91279
2020년 6월 7일,77918
2020년 6월 8일,93975
2020년 6월 9일,97089
2020년 7월 10일,94175
2020년 7월 11일,86651
2020년 7월 12일,65606
2020년 7월 13일,77659
2020년 7월 14일,83055
2020년 7월 15일,92549
2020년 7월 16일,95682
2020년 7월 17일,99066
2020년 7월 18일,90039
2020년 7월 19일,70217
2020년 7월 1일,91702
2020년 7월 20일,88890
2020년 7월 21일,92773
2020년 7월 22일,91219
2020년 7월 23일,88200
2020년 7월 24일,95320
2020년 7월 25일,88560
2020년 7월 26일,71117
2020년 7월 27일,84199
2020년 7월 28일,78717
2020년 7월 29일,91124
2020년 7월 2일,92127
2020년 7월 30일,88596
2020년 7월 31일,94845
2020년 7월 3일,93950
2020년 7월 4일,86717
2020년 7월 5일,68392
2020년 7월 6일,90986
2020년 7월 7일,89289
2020년 7월 8일,92389
2020년 7월 9일,83018
2020년 8월 10일,49948
2020년 8월 11일,49687
2020년 8월 12일,93752
2020년 8월 13일,93766
2020년 8월 14일,98840
2020년 8월 15일,87741
2020년 8월 16일,42158
2020년 8월 17일,48053
2020년 8월 18일,50889
2020년 8월 19일,94486
2020년 8월 1일,85300
2020년 8월 20일,53371
2020년 8월 21일,97317
2020년 8월 22일,87304
2020년 8월 23일,36394
2020년 8월 24일,51457
2020년 8월 25일,50463
2020년 8월 26일,91324
2020년 8월 27일,89023
2020년 8월 28일,95571
2020년 8월 29일,85498
2020년 8월 2일,64768
2020년 8월 30일,35324
2020년 8월 31일,50032
2020년 8월 3일,80223
2020년 8월 4일,79870
2020년 8월 5일,93123
2020년 8월 6일,90755
2020년 8월 7일,95078
2020년 8월 8일,87198
2020년 8월 9일,39380
2020년 9월 10일,92558
2020년 9월 11일,93839
2020년 9월 12일,86080
2020년 9월 13일,62901
2020년 9월 14일,81587
2020년 9월 15일,80675
2020년 9월 16일,91354
2020년 9월 17일,92137
2020년 9월 18일,67964
2020년 9월 19일,92425
2020년 9월 1일,50213
2020년 9월 20일,67171
2020년 9월 21일,84771
2020년 9월 22일,83424
2020년 9월 23일,95858
2020년 9월 24일,98120
2020년 9월 25일,99891
2020년 9월 26일,95632
2020년 9월 27일,68366
2020년 9월 28일,88875
2020년 9월 29일,89659
2020년 9월 2일,86547
2020년 9월 30일,81147
2020년 9월 3일,88061
2020년 9월 4일,95681
2020년 9월 5일,85969
2020년 9월 6일,57958
2020년 9월 7일,72335
2020년 9월 8일,79929
2020년 9월 9일,90820
2021년 1월 10일,59353
2021년 1월 11일,89156
2021년 1월 12일,87899
2021년 1월 13일,90928
2021년 1월 14일,92634
2021년 1월 15일,95456
2021년 1월 16일,87458
2021년 1월 17일,63108
2021년 1월 18일,79926
2021년 1월 19일,87404
2021년 1월 1일,59224
2021년 1월 20일,92636
2021년 1월 21일,90707
2021년 1월 22일,93966
2021년 1월 23일,87306
2021년 1월 24일,68915
2021년 1월 25일,87232
2021년 1월 26일,87756
2021년 1월 27일,93678
2021년 1월 28일,89559
2021년 1월 29일,94258
2021년 1월 2일,71391
2021년 1월 30일,87084
2021년 1월 31일,69619
2021년 1월 3일,58844
2021년 1월 4일,86930
2021년 1월 5일,88453
2021년 1월 6일,90701
2021년 1월 7일,72803
2021년 1월 8일,86916
2021년 1월 9일,79636
2021년 2월 10일,102014
2021년 2월 11일,72884
2021년 2월 12일,68721
2021년 2월 13일,69939
2021년 2월 14일,68094
2021년 2월 15일,93424
2021년 2월 16일,93563
2021년 2월 17일,88990
2021년 2월 18일,90668
2021년 2월 19일,97997
2021년 2월 1일,89547
2021년 2월 20일,92514
2021년 2월 21일,74083
2021년 2월 22일,94308
2021년 2월 23일,93111
2021년 2월 24일,93389
2021년 2월 25일,91666
2021년 2월 26일,97749
2021년 2월 27일,92111
2021년 2월 28일,73738
2021년 2월 2일,92863
2021년 2월 3일,94003
2021년 2월 4일,92366
2021년 2월 5일,97488
2021년 2월 6일,90918
2021년 2월 7일,72586
2021년 2월 8일,97216
2021년 2월 9일,99314
2021년 3월 10일,94176
2021년 3월 11일,92730
2021년 3월 12일,92165
2021년 3월 13일,90849
2021년 3월 14일,74266
2021년 3월 15일,92264
2021년 3월 16일,94450
2021년 3월 17일,94138
2021년 3월 18일,93222
2021년 3월 19일,97117
2021년 3월 1일,69284
2021년 3월 20일,87047
2021년 3월 21일,74947
2021년 3월 22일,95065
2021년 3월 23일,93836
2021년 3월 24일,93279
2021년 3월 25일,93468
2021년 3월 26일,97408
2021년 3월 27일,87934
2021년 3월 28일,70424
2021년 3월 29일,92560
2021년 3월 2일,91499
2021년 3월 30일,93763
2021년 3월 31일,95183
2021년 3월 3일,92285
2021년 3월 4일,90470
2021년 3월 5일,96145
2021년 3월 6일,89789
2021년 3월 7일,73760
2021년 3월 8일,92845
2021년 3월 9일,92041
2021년 4월 10일,89300
2021년 4월 11일,73045
2021년 4월 12일,88745
2021년 4월 13일,91197
2021년 4월 14일,91777
2021년 4월 15일,91287
2021년 4월 16일,92743
2021년 4월 17일,88477
2021년 4월 18일,73271
2021년 4월 19일,93327
2021년 4월 1일,93133
2021년 4월 20일,91205
2021년 4월 21일,91071
2021년 4월 22일,89713
2021년 4월 23일,94381
2021년 4월 24일,89168
2021년 4월 25일,73965
2021년 4월 26일,92225
2021년 4월 27일,90785
2021년 4월 28일,91888
2021년 4월 29일,92480
2021년 4월 2일,96890
2021년 4월 30일,96554
2021년 4월 3일,83869
2021년 4월 4일,71222
2021년 4월 5일,94972
2021년 4월 6일,92658
2021년 4월 7일,91459
2021년 4월 8일,91697
2021년 4월 9일,96293
2021년 5월 10일,89088
2021년 5월 11일,89549
2021년 5월 12일,93166
2021년 5월 13일,93109
2021년 5월 14일,96973
2021년 5월 15일,88716
2021년 5월 16일,66326
2021년 5월 17일,89436
2021년 5월 18일,94695
2021년 5월 19일,79577
2021년 5월 1일,86194
2021년 5월 20일,88962
2021년 5월 21일,93299
2021년 5월 22일,88800
2021년 5월 23일,72388
2021년 5월 24일,91861
2021년 5월 25일,93614
2021년 5월 26일,90026
2021년 5월 27일,91556
2021년 5월 28일,94136
2021년 5월 29일,89804
2021년 5월 2일,74307
2021년 5월 30일,73882
2021년 5월 31일,90957
2021년 5월 3일,94030
2021년 5월 4일,92461
2021년 5월 5일,80206
2021년 5월 6일,92013
2021년 5월 7일,99260
2021년 5월 8일,92996
2021년 5월 9일,77349
2021년 6월 10일,91143
2021년 6월 11일,94124
2021년 6월 12일,88278
2021년 6월 13일,72311
2021년 6월 14일,90289
2021년 6월 15일,89545
2021년 6월 16일,91198
2021년 6월 17일,89280
2021년 6월 18일,93014
2021년 6월 19일,89797
2021년 6월 1일,90799
2021년 6월 20일,76737
2021년 6월 21일,93168
2021년 6월 22일,90177
2021년 6월 23일,87209
2021년 6월 24일,94549
2021년 6월 25일,102740
2021년 6월 26일,91068
2021년 6월 27일,76373
2021년 6월 28일,97692
2021년 6월 29일,96636
2021년 6월 2일,91460
2021년 6월 30일,97579
2021년 6월 3일,88082
2021년 6월 4일,96847
2021년 6월 5일,90430
2021년 6월 6일,73035
2021년 6월 7일,91268
2021년 6월 8일,90723
2021년 6월 9일,91173
