일자,평균
2018년 11월 14일,112307
2018년 11월 15일,111204
2018년 11월 16일,113713
2018년 11월 17일,114519
2018년 11월 18일,0
2018년 11월 19일,0
2018년 11월 1일,111038
2018년 11월 20일,0
2018년 11월 21일,92410
2018년 11월 22일,111506
2018년 11월 23일,114766
2018년 11월 24일,107054
2018년 11월 25일,0
2018년 11월 26일,0
2018년 11월 27일,0
2018년 11월 28일,109126
2018년 11월 29일,108496
2018년 11월 2일,111401
2018년 11월 30일,115659
2018년 11월 3일,114296
2018년 11월 4일,0
2018년 11월 5일,0
2018년 11월 6일,0
2018년 11월 7일,107442
2018년 11월 8일,105707
2018년 11월 9일,108523
2018년 12월 10일,0
2018년 12월 12일,78507
2018년 12월 13일,107092
2018년 12월 14일,114741
2018년 12월 15일,110562
2018년 12월 16일,0
2018년 12월 17일,0
2018년 12월 18일,0
2018년 12월 19일,107874
2018년 12월 1일,111627
2018년 12월 20일,102269
2018년 12월 21일,113259
2018년 12월 22일,110248
2018년 12월 23일,0
2018년 12월 24일,0
2018년 12월 25일,0
2018년 12월 26일,101984
2018년 12월 27일,100866
2018년 12월 28일,104122
2018년 12월 29일,95957
2018년 12월 2일,0
2018년 12월 30일,0
2018년 12월 31일,0
2018년 12월 3일,0
2018년 12월 4일,0
2018년 12월 5일,109833
2018년 12월 6일,108041
2018년 12월 7일,109932
2018년 12월 8일,110286
2018년 12월 9일,0
2018년 1월 10일,86559
2018년 1월 11일,90831
2018년 1월 12일,101811
2018년 1월 13일,98728
2018년 1월 14일,82856
2018년 1월 15일,101341
2018년 1월 16일,97899
2018년 1월 17일,99054
2018년 1월 18일,100760
2018년 1월 19일,106502
2018년 1월 1일,78183
2018년 1월 20일,101684
2018년 1월 21일,84715
2018년 1월 22일,97929
2018년 1월 23일,99154
2018년 1월 24일,98668
2018년 1월 25일,99998
2018년 1월 26일,103566
2018년 1월 27일,98567
2018년 1월 28일,81942
2018년 1월 29일,101193
2018년 1월 2일,99018
2018년 1월 30일,99820
2018년 1월 3일,101731
2018년 1월 4일,99633
2018년 1월 5일,105702
2018년 1월 6일,100236
2018년 1월 7일,81532
2018년 1월 8일,96894
2018년 1월 9일,92734
2018년 2월 10일,102772
2018년 2월 11일,81068
2018년 2월 12일,99633
2018년 2월 13일,104344
2018년 2월 14일,109742
2018년 2월 15일,83956
2018년 2월 16일,84218
2018년 2월 17일,80539
2018년 2월 18일,81822
2018년 2월 19일,102547
2018년 2월 1일,101625
2018년 2월 20일,101078
2018년 2월 21일,103205
2018년 2월 22일,104350
2018년 2월 23일,104290
2018년 2월 24일,103240
2018년 2월 25일,86036
2018년 2월 26일,105883
2018년 2월 27일,103879
2018년 2월 28일,101898
2018년 2월 3일,100544
2018년 2월 4일,84513
2018년 2월 5일,101525
2018년 2월 6일,100851
2018년 2월 7일,101721
2018년 2월 8일,103514
2018년 2월 9일,105962
2018년 3월 10일,106319
2018년 3월 11일,89904
2018년 3월 12일,105155
2018년 3월 13일,104902
2018년 3월 14일,107141
2018년 3월 15일,97887
2018년 3월 16일,107422
2018년 3월 17일,107312
2018년 3월 18일,88294
2018년 3월 19일,97639
2018년 3월 1일,91325
2018년 3월 20일,102048
2018년 3월 21일,94940
2018년 3월 22일,103900
2018년 3월 23일,109475
2018년 3월 24일,104508
2018년 3월 25일,90224
2018년 3월 26일,105072
2018년 3월 27일,102843
2018년 3월 28일,104996
2018년 3월 29일,102530
2018년 3월 2일,107927
2018년 3월 30일,110438
2018년 3월 31일,105661
2018년 3월 3일,101293
2018년 3월 4일,87460
2018년 3월 5일,98019
2018년 3월 6일,102649
2018년 3월 7일,103377
2018년 3월 8일,97256
2018년 3월 9일,104935
2018년 4월 10일,106213
2018년 4월 11일,106737
2018년 4월 12일,106667
2018년 4월 13일,107824
2018년 4월 14일,100508
2018년 4월 15일,92723
2018년 4월 16일,106071
2018년 4월 17일,104490
2018년 4월 18일,105865
2018년 4월 19일,106067
2018년 4월 1일,89729
2018년 4월 20일,110519
2018년 4월 21일,107683
2018년 4월 22일,87621
2018년 4월 23일,96461
2018년 4월 24일,100680
2018년 4월 25일,108054
2018년 4월 26일,105828
2018년 4월 27일,109869
2018년 4월 28일,106765
2018년 4월 29일,90681
2018년 4월 2일,104136
2018년 4월 30일,104162
2018년 4월 3일,105679
2018년 4월 4일,100822
2018년 4월 5일,99006
2018년 4월 6일,106161
2018년 4월 7일,105168
2018년 4월 8일,89810
2018년 4월 9일,105795
2018년 5월 10일,107527
2018년 5월 12일,99616
2018년 5월 13일,89535
2018년 5월 14일,106335
2018년 5월 15일,106060
2018년 5월 16일,103071
2018년 5월 17일,104711
2018년 5월 19일,108996
2018년 5월 1일,0
2018년 5월 21일,109091
2018년 5월 22일,93186
2018년 5월 23일,107677
2018년 5월 24일,107568
2018년 5월 25일,109330
2018년 5월 26일,107755
2018년 5월 27일,0
2018년 5월 28일,105332
2018년 5월 29일,105314
2018년 5월 2일,0
2018년 5월 30일,107377
2018년 5월 31일,107194
2018년 5월 3일,100871
2018년 5월 4일,111566
2018년 5월 5일,100546
2018년 5월 6일,86908
2018년 5월 7일,95521
2018년 5월 8일,109427
2018년 5월 9일,106328
2018년 6월 10일,0
2018년 6월 11일,104319
2018년 6월 12일,105996
2018년 6월 13일,95200
2018년 6월 14일,104818
2018년 6월 15일,111447
2018년 6월 16일,105932
2018년 6월 17일,0
2018년 6월 18일,104265
2018년 6월 19일,102192
2018년 6월 1일,110811
2018년 6월 20일,105260
2018년 6월 21일,106724
2018년 6월 22일,109091
2018년 6월 23일,104100
2018년 6월 24일,0
2018년 6월 25일,105640
2018년 6월 26일,100664
2018년 6월 27일,103894
2018년 6월 28일,103408
2018년 6월 29일,110567
2018년 6월 2일,105945
2018년 6월 30일,102284
2018년 6월 3일,0
2018년 6월 4일,104398
2018년 6월 5일,107349
2018년 6월 6일,89431
2018년 6월 7일,106058
2018년 6월 8일,111117
2018년 6월 9일,106942
2018년 7월 10일,102914
2018년 7월 11일,93400
2018년 7월 12일,106368
2018년 7월 13일,108240
2018년 7월 14일,105728
2018년 7월 15일,0
2018년 7월 16일,104898
2018년 7월 17일,102600
2018년 7월 18일,106802
2018년 7월 19일,109058
2018년 7월 1일,0
2018년 7월 20일,114776
2018년 7월 21일,108470
2018년 7월 22일,0
2018년 7월 23일,109575
2018년 7월 24일,108528
2018년 7월 26일,111135
2018년 7월 27일,114493
2018년 7월 28일,104482
2018년 7월 29일,0
2018년 7월 2일,98783
2018년 7월 30일,108993
2018년 7월 31일,110540
2018년 7월 3일,101325
2018년 7월 4일,104475
2018년 7월 5일,102147
2018년 7월 6일,104531
2018년 7월 7일,101990
2018년 7월 8일,0
2018년 7월 9일,98620
2018년 8월 10일,111409
2018년 8월 11일,107414
2018년 8월 12일,0
2018년 8월 13일,0
2018년 8월 14일,0
2018년 8월 15일,97435
2018년 8월 16일,107741
2018년 8월 17일,113240
2018년 8월 1일,84275
2018년 8월 22일,90599
2018년 8월 23일,102208
2018년 8월 24일,104717
2018년 8월 26일,0
2018년 8월 27일,98300
2018년 8월 28일,0
2018년 8월 29일,109532
2018년 8월 2일,107954
2018년 8월 30일,53051
2018년 8월 31일,110698
2018년 8월 3일,71141
2018년 8월 8일,109990
2018년 8월 9일,93000
2018년 9월 10일,0
2018년 9월 11일,0
2018년 9월 12일,111858
2018년 9월 13일,111005
2018년 9월 14일,111953
2018년 9월 15일,112113
2018년 9월 16일,0
2018년 9월 17일,0
2018년 9월 18일,0
2018년 9월 19일,113948
2018년 9월 1일,108258
2018년 9월 21일,115161
2018년 9월 22일,111909
2018년 9월 24일,0
2018년 9월 25일,0
2018년 9월 26일,93778
2018년 9월 27일,112247
2018년 9월 28일,111124
2018년 9월 29일,107027
2018년 9월 2일,0
2018년 9월 30일,0
2018년 9월 3일,0
2018년 9월 4일,0
2018년 9월 5일,112212
2018년 9월 6일,107090
2018년 9월 7일,113494
2018년 9월 8일,113184
2018년 9월 9일,0
2019년 10월 10일,102652
2019년 10월 11일,107918
2019년 10월 12일,105472
2019년 10월 13일,88497
2019년 10월 14일,103471
2019년 10월 15일,104280
2019년 10월 16일,102163
2019년 10월 17일,104913
2019년 10월 18일,107648
2019년 10월 19일,107876
2019년 10월 1일,100796
2019년 10월 20일,91611
2019년 10월 21일,100577
2019년 10월 22일,100922
2019년 10월 23일,97458
2019년 10월 24일,99456
2019년 10월 25일,99744
2019년 10월 26일,108414
2019년 10월 27일,91185
2019년 10월 28일,96192
2019년 10월 29일,93243
2019년 10월 2일,100060
2019년 10월 30일,91234
2019년 10월 31일,101350
2019년 10월 3일,88344
2019년 10월 4일,105676
2019년 10월 5일,100530
2019년 10월 6일,88322
2019년 10월 7일,97702
2019년 10월 8일,104864
2019년 10월 9일,91469
2019년 11월 10일,87165
2019년 11월 11일,103571
2019년 11월 12일,104027
2019년 11월 13일,92279
2019년 11월 14일,103168
2019년 11월 15일,92190
2019년 11월 16일,103950
2019년 11월 17일,84808
2019년 11월 18일,98030
2019년 11월 19일,91946
2019년 11월 1일,106270
2019년 11월 20일,87813
2019년 11월 21일,103351
2019년 11월 22일,98385
2019년 11월 23일,94055
2019년 11월 24일,89756
2019년 11월 25일,97701
2019년 11월 26일,102402
2019년 11월 27일,103005
2019년 11월 28일,97653
2019년 11월 29일,100823
2019년 11월 2일,105594
2019년 11월 30일,101454
2019년 11월 3일,92113
2019년 11월 4일,104239
2019년 11월 5일,103758
2019년 11월 6일,104181
2019년 11월 7일,103834
2019년 11월 8일,109807
2019년 11월 9일,105347
2019년 12월 10일,73978
2019년 12월 11일,68785
2019년 12월 12일,71449
2019년 12월 13일,82156
2019년 12월 14일,81717
2019년 12월 15일,70146
2019년 12월 16일,76866
2019년 12월 17일,75472
2019년 12월 18일,77249
2019년 12월 19일,78725
2019년 12월 1일,83494
2019년 12월 20일,79625
2019년 12월 21일,79684
2019년 12월 22일,69915
2019년 12월 23일,76230
2019년 12월 24일,0
2019년 12월 25일,68040
2019년 12월 26일,75158
2019년 12월 27일,81870
2019년 12월 28일,76493
2019년 12월 29일,63110
2019년 12월 2일,97048
2019년 12월 30일,72561
2019년 12월 31일,81834
2019년 12월 3일,75041
2019년 12월 4일,77471
2019년 12월 5일,79559
2019년 12월 6일,73536
2019년 12월 7일,73934
2019년 12월 8일,69008
2019년 12월 9일,77567
2019년 1월 10일,104195
2019년 1월 11일,111319
2019년 1월 12일,106403
2019년 1월 13일,0
2019년 1월 14일,0
2019년 1월 15일,0
2019년 1월 16일,106761
2019년 1월 17일,104583
2019년 1월 18일,112486
2019년 1월 19일,106013
2019년 1월 1일,0
2019년 1월 20일,0
2019년 1월 21일,0
2019년 1월 22일,0
2019년 1월 23일,107440
2019년 1월 24일,107413
2019년 1월 25일,110771
2019년 1월 26일,107466
2019년 1월 27일,0
2019년 1월 28일,0
2019년 1월 29일,0
2019년 1월 2일,99863
2019년 1월 30일,110483
2019년 1월 31일,109444
2019년 1월 3일,100402
2019년 1월 4일,103797
2019년 1월 5일,98967
2019년 1월 6일,0
2019년 1월 7일,0
2019년 1월 8일,0
2019년 1월 9일,106330
2019년 2월 10일,0
2019년 2월 11일,0
2019년 2월 12일,0
2019년 2월 13일,108377
2019년 2월 14일,109100
2019년 2월 15일,110062
2019년 2월 16일,107471
2019년 2월 18일,105485
2019년 2월 19일,99189
2019년 2월 1일,114645
2019년 2월 20일,107174
2019년 2월 21일,109741
2019년 2월 22일,111571
2019년 2월 23일,110025
2019년 2월 24일,92427
2019년 2월 25일,105914
2019년 2월 26일,107669
2019년 2월 27일,106489
2019년 2월 28일,111075
2019년 2월 2일,104701
2019년 2월 3일,0
2019년 2월 4일,0
2019년 2월 5일,0
2019년 2월 6일,85106
2019년 2월 7일,105122
2019년 2월 8일,108292
2019년 2월 9일,103683
2019년 3월 10일,66294
2019년 3월 11일,74255
