,date,TPM2.5,TPM10,JPM2.5,JPM10,BPM2.5,BPM10,교통량합계,평균기온(°C),일강수량(mm),평균 풍속(m/s),SO2 (ppm),PM10 (ug/m3),O3 (ppm),NO2 (ppm),CO (ppm),PM2.5 (ug/m3)
711,2019-05-13,35,97,67,266,19,69,105566.0,20.2,0.0,1.1,0.005,53.0,0.031,0.037,0.3,31.0
712,2019-05-14,57,172,65,239,54,121,107183.0,21.4,0.0,1.2,0.004,69.0,0.018,0.04,0.4,33.0
713,2019-05-15,62,163,56,109,91,208,110027.0,22.5,0.0,0.9,0.002,64.0,0.009,0.047,0.4,38.0
714,2019-05-16,68,103,45,86,67,141,108804.0,23.6,0.0,1.1,0.002,61.0,0.0069999999999999,0.046,0.5,35.0
715,2019-05-17,54,75,24,51,81,115,113390.0,23.3,0.0,1.0,0.002,44.0,0.012,0.046,0.4,28.0
716,2019-05-18,18,31,21,46,38,41,106565.0,19.3,12.5,2.1,0.001,23.0,0.019,0.022,0.3,12.0
717,2019-05-19,33,86,34,130,30,65,91547.0,20.6,1.0,1.3,0.001,22.0,0.013,0.025,0.3,11.0
718,2019-05-20,16,61,20,85,12,46,105806.0,17.3,3.0,2.3,0.002,37.0,0.013,0.0279999999999999,0.3,9.0
719,2019-05-21,22,55,29,85,14,39,107587.0,18.0,0.0,2.6,0.005,44.0,0.027,0.03,0.3,13.0
720,2019-05-22,34,77,35,91,21,55,109161.0,20.8,0.0,1.8,0.006,56.0,0.038,0.039,0.3,22.0
721,2019-05-23,53,118,33,103,27,71,109081.0,23.0,0.0,1.3,0.0069999999999999,59.0,0.037,0.047,0.4,30.0
722,2019-05-24,29,92,32,87,45,111,106704.0,24.5,0.0,0.7,0.0069999999999999,77.0,0.042,0.053,0.4,43.0
723,2019-05-25,46,106,43,91,49,115,102163.0,23.8,0.0,0.6,0.006,67.0,0.039,0.044,0.4,42.0
724,2019-05-26,46,67,38,66,36,77,92111.0,24.9,0.0,1.3,0.0069999999999999,40.0,0.032,0.03,0.2,20.0
725,2019-05-27,8,22,14,44,6,15,99660.0,17.8,16.0,1.9,0.005,13.0,0.018,0.03,0.2,11.0
726,2019-05-28,21,52,19,61,12,36,105806.0,18.0,0.0,1.4,0.005,24.0,0.018,0.031,0.2,8.0
727,2019-05-29,42,92,21,64,21,51,109451.0,20.6,0.0,1.3,0.006,38.0,0.0289999999999999,0.042,0.3,17.0
728,2019-05-30,20,62,25,59,20,54,106730.0,20.2,0.0,1.4,0.0069999999999999,43.0,0.03,0.042,0.3,22.0
729,2019-05-31,12,43,31,76,10,33,112534.0,19.2,0.5,1.7,0.005,23.0,0.03,0.032,0.2,13.0
730,2019-06-01,27,72,34,89,30,74,108294.0,19.3,0.0,0.8,0.002,34.0,0.025,0.034,0.2,16.0
731,2019-06-02,49,102,34,81,45,79,79892.0,21.9,0.0,0.8,0.003,39.0,0.034,0.032,0.3,20.0
732,2019-06-03,39,71,42,109,28,55,106230.0,23.5,0.0,0.8,0.004,48.0,0.034,0.045,0.4,27.0
733,2019-06-04,43,61,46,136,60,70,105808.0,24.8,0.0,1.4,0.003,45.0,0.0289999999999999,0.04,0.3,25.0
734,2019-06-05,75,85,47,103,47,62,107459.0,24.1,0.0,1.3,0.002,43.0,0.023,0.034,0.2,25.0
735,2019-06-06,71,52,29,56,53,54,89491.0,22.4,15.5,0.8,0.001,47.0,0.023,0.034,0.3,29.0
736,2019-06-07,47,54,24,53,62,60,106084.0,18.9,17.0,1.5,0.001,11.0,0.022,0.033,0.3,6.0
737,2019-06-08,40,67,36,77,34,47,105294.0,21.5,0.0,0.7,0.001,23.0,0.02,0.032,0.3,11.0
738,2019-06-09,28,46,26,73,6,20,84479.0,22.1,1.0,0.9,0.001,24.0,0.022,0.024,0.2,15.0
739,2019-06-10,32,56,19,54,29,54,104565.0,19.3,14.5,1.1,0.001,15.0,0.015,0.026,0.2,8.0
740,2019-06-11,28,41,29,80,51,62,105371.0,20.8,0.0,0.9,0.001,20.0,0.021,0.0279999999999999,0.2,12.0
741,2019-06-12,45,93,33,91,35,56,108260.0,21.6,0.0,0.7,0.002,42.0,0.026,0.033,0.3,21.0
742,2019-06-13,60,89,32,84,23,43,108025.0,23.6,0.0,0.5,0.002,38.0,0.027,0.04,0.3,24.0
743,2019-06-14,92,96,36,86,31,56,111696.0,21.8,0.0,0.3,0.002,59.0,0.022,0.046,0.4,39.0
744,2019-06-15,33,44,46,118,21,52,109556.0,22.0,0.0,1.1,0.002,35.0,0.022,0.037,0.3,22.0
745,2019-06-16,10,26,30,100,25,32,89456.0,21.7,0.0,1.1,0.002,34.0,0.03,0.025,0.3,20.0
746,2019-06-17,33,52,39,98,51,51,106107.0,22.1,0.0,1.7,0.002,27.0,0.022,0.027,0.2,14.0
747,2019-06-18,50,85,40,90,60,65,100826.0,21.8,0.0,0.7,0.002,38.0,0.019,0.038,0.3,21.0
748,2019-06-19,57,56,38,83,74,90,107680.0,22.9,0.0,0.8,0.002,43.0,0.025,0.037,0.3,28.0
749,2019-06-20,79,86,44,86,61,82,108197.0,24.2,0.0,1.1,0.003,36.0,0.025,0.036,0.4,24.0
750,2019-06-21,49,49,61,108,51,79,113336.0,24.4,0.0,1.1,0.003,37.0,0.03,0.03,0.3,23.0
751,2019-06-22,17,49,25,66,22,56,107689.0,23.3,2.5,1.1,0.003,31.0,0.021,0.032,0.3,19.0
752,2019-06-23,27,58,29,84,40,88,90891.0,23.6,0.0,0.8,0.003,16.0,0.02,0.025,0.2,12.0
753,2019-06-24,34,70,32,78,36,74,105330.0,24.5,0.0,1.2,0.003,32.0,0.02,0.035,0.3,21.0
754,2019-06-25,36,87,30,67,46,102,105261.0,26.3,0.0,0.8,0.003,30.0,0.026,0.036,0.3,19.0
755,2019-06-26,30,65,30,69,43,83,107399.0,21.9,2.0,0.8,0.002,32.0,0.017,0.034,0.3,22.0
756,2019-06-27,38,70,40,85,48,76,105493.0,24.4,2.5,0.8,0.002,17.0,0.011,0.03,0.2,12.0
757,2019-06-28,35,61,42,65,27,40,112259.0,25.3,0.0,1.5,0.002,16.0,0.02,0.03,0.2,20.0
758,2019-06-29,44,56,49,82,14,28,103174.0,22.1,15.5,0.4,0.002,27.0,0.011,0.0279999999999999,0.3,17.0
759,2019-06-30,13,38,34,76,5,18,88741.0,24.3,0.0,1.5,0.002,30.0,0.018,0.025,0.2,18.0
760,2019-07-01,22,46,18,61,10,30,97874.0,23.7,0.0,1.4,0.002,27.0,0.023,0.03,0.2,18.0
761,2019-07-02,28,56,29,80,24,62,92176.0,24.3,0.0,1.1,0.002,28.0,0.024,0.03,0.3,17.0
762,2019-07-03,24,48,33,68,21,38,106518.0,24.5,0.0,0.6,0.002,36.0,0.025,0.034,0.3,26.0
763,2019-07-04,32,63,38,84,30,72,104655.0,25.6,0.0,0.9,0.003,39.0,0.025,0.039,0.3,28.0
764,2019-07-05,41,71,32,72,27,49,112028.0,27.9,0.0,0.6,0.004,35.0,0.023,0.046,0.4,25.0
765,2019-07-06,29,26,23,44,7,14,108313.0,27.2,0.0,1.7,0.004,26.0,0.024,0.031,0.3,18.0
766,2019-07-07,29,33,28,43,13,21,90704.0,25.5,0.0,1.9,0.003,18.0,0.026,0.019,0.2,11.0
767,2019-07-08,46,52,39,62,25,34,105050.0,24.7,0.0,1.6,0.002,14.0,0.02,0.02,0.2,6.0
768,2019-07-09,56,62,43,69,29,49,102992.0,24.3,0.0,1.8,0.001,15.0,0.019,0.03,0.3,10.0
769,2019-07-10,34,34,49,72,44,47,103994.0,21.6,19.0,1.1,0.001,10.0,0.012,0.026,0.3,7.0
770,2019-07-11,25,38,49,77,28,39,102516.0,21.1,6.0,0.6,0.001,13.0,0.009,0.033,0.3,9.0
771,2019-07-12,47,57,46,78,25,48,110994.0,23.5,0.0,1.5,0.001,16.0,0.0139999999999999,0.031,0.3,11.0
772,2019-07-13,50,62,40,69,55,77,106223.0,24.2,1.5,0.8,0.001,26.0,0.017,0.034,0.3,22.0
773,2019-07-14,35,45,48,94,15,31,76377.0,25.7,0.0,0.8,0.001,34.0,0.0279999999999999,0.03,0.4,28.0
774,2019-07-15,36,44,47,88,53,68,102776.0,24.0,44.0,0.8,0.001,40.0,0.022,0.036,0.4,28.0
775,2019-07-16,31,45,50,103,37,51,100093.0,24.6,36.0,0.7,0.001,28.0,0.022,0.036,0.4,18.0
776,2019-07-17,70,74,63,101,52,42,104914.0,25.8,0.0,0.6,0.001,35.0,0.0139999999999999,0.036,0.3,27.0
777,2019-07-18,86,72,37,72,67,64,103602.0,25.4,5.0,0.4,0.002,26.0,0.01,0.032,0.3,16.0
778,2019-07-19,23,36,21,58,56,61,110232.0,26.5,0.5,1.0,0.002,16.0,0.0069999999999999,0.025,0.2,12.0
779,2019-07-20,32,42,27,55,59,59,101152.0,25.6,21.0,1.6,0.002,8.0,0.0069999999999999,0.015,0.1,4.0
780,2019-07-21,73,72,36,71,64,69,85583.0,24.7,29.0,1.4,0.002,23.0,0.009,0.023,0.2,14.0
781,2019-07-22,55,79,49,87,78,99,105629.0,28.3,0.0,1.2,0.002,23.0,0.016,0.03,0.2,18.0
782,2019-07-23,34,39,34,54,24,28,89106.0,29.0,0.0,0.5,0.002,13.0,0.011,0.026,0.1,17.0
783,2019-07-24,44,59,35,63,33,55,105242.0,27.7,0.0,0.1,0.002,15.0,0.008,0.026,0.2,15.0
784,2019-07-25,36,72,35,65,24,52,101079.0,26.4,23.5,0.8,0.002,20.0,0.006,0.035,0.3,18.0
785,2019-07-26,53,89,39,73,40,70,107767.0,27.0,19.0,0.1,0.002,31.0,0.004,0.03,0.2,18.0
786,2019-07-27,58,70,40,66,83,86,102584.0,27.9,15.0,0.4,0.002,18.0,0.0069999999999999,0.03,0.2,11.0
787,2019-07-28,47,60,18,36,55,59,63683.0,26.9,21.5,0.5,0.002,16.0,0.006,0.025,0.1,8.0
788,2019-07-29,32,35,26,47,14,13,87228.0,28.8,0.0,0.6,,22.0,0.006,0.039,0.3,8.0
789,2019-07-30,22,30,18,29,27,33,103906.0,29.5,0.0,1.3,0.003,17.0,0.0069999999999999,0.024,0.1,16.0
790,2019-07-31,41,64,18,34,22,43,105508.0,29.9,0.0,2.1,0.002,15.0,0.0069999999999999,0.019,0.1,16.0
791,2019-08-01,37,58,25,49,24,54,103818.0,29.7,0.0,1.3,0.003,17.0,0.008,0.022,0.1,18.0
792,2019-08-02,31,34,19,32,29,36,106849.0,30.4,0.0,0.6,0.003,22.0,0.015,0.031,0.2,14.0
793,2019-08-03,19,29,35,55,35,44,100751.0,30.4,0.0,1.0,0.003,33.0,0.016,0.032,0.2,23.0
794,2019-08-04,26,38,38,62,40,45,88721.0,30.3,0.0,0.9,0.004,39.0,0.025,0.026,0.2,29.0
795,2019-08-05,31,44,16,30,30,27,104841.0,31.3,0.0,0.9,0.004,51.0,0.016,0.038,0.3,42.0
796,2019-08-06,39,47,19,33,46,47,103886.0,29.5,0.0,1.6,0.004,29.0,0.0139999999999999,0.024,0.2,19.0
797,2019-08-07,28,40,22,34,17,23,105061.0,28.8,17.5,1.7,0.003,26.0,0.016,0.026,0.2,18.0
798,2019-08-08,38,44,35,52,33,46,105497.0,28.0,15.0,0.9,0.001,31.0,0.011,0.025,0.3,21.0
799,2019-08-09,23,33,32,53,40,45,99876.0,29.6,4.0,0.8,0.002,20.0,0.0069999999999999,0.031,0.3,14.0
800,2019-08-10,26,23,16,27,23,25,103164.0,30.2,0.0,1.5,0.003,26.0,0.015,0.025,0.3,21.0
801,2019-08-11,10,14,4,4,15,20,61444.0,30.1,0.0,2.0,0.002,26.0,0.015,0.013,0.2,14.0
802,2019-08-12,6,10,4,7,6,16,87088.0,29.9,0.0,1.4,0.002,26.0,0.008,0.024,0.3,16.0
803,2019-08-13,7,19,10,16,5,16,98688.0,30.3,0.0,0.9,0.002,13.0,0.008,0.027,0.2,19.0
804,2019-08-14,22,45,19,34,11,28,107125.0,30.2,0.0,1.6,0.002,13.0,0.011,0.019,0.2,9.0
805,2019-08-15,38,58,28,54,15,38,91605.0,25.8,9.0,1.4,0.002,7.0,0.01,0.017,0.3,4.0
806,2019-08-16,10,31,20,40,6,18,107488.0,26.7,1.0,1.6,0.002,16.0,0.015,0.026,0.4,13.0
807,2019-08-17,12,38,20,49,11,24,100925.0,26.5,3.5,1.5,0.002,35.0,0.034,0.0289999999999999,0.3,23.0
808,2019-08-18,26,66,19,56,15,45,89489.0,25.9,0.0,0.9,0.003,27.0,0.032,0.025,0.2,17.0
809,2019-08-19,34,68,26,59,40,80,104038.0,26.6,0.0,0.8,0.003,34.0,0.022,0.036,0.3,24.0
810,2019-08-20,36,56,22,54,51,54,105095.0,27.8,0.0,1.4,0.003,31.0,0.026,0.027,0.2,23.0
811,2019-08-21,32,43,39,81,26,27,103369.0,27.1,7.0,0.9,0.004,27.0,0.023,0.0279999999999999,0.3,23.0
812,2019-08-22,25,59,34,73,14,32,103017.0,26.4,30.0,1.2,0.004,30.0,0.02,0.023,0.2,19.0
813,2019-08-23,23,55,26,70,10,31,112063.0,25.2,0.0,1.6,0.004,37.0,0.03,0.021,0.3,25.0
814,2019-08-24,31,53,44,112,15,43,106818.0,23.7,0.0,1.0,0.004,30.0,0.024,0.017,0.4,17.0
815,2019-08-25,29,56,49,87,23,52,92840.0,24.5,0.0,1.2,0.004,20.0,0.025,,0.3,12.0
816,2019-08-26,58,74,40,85,76,90,107800.0,25.8,0.0,0.8,0.004,18.0,0.02,0.025,0.3,12.0
817,2019-08-27,53,66,45,90,28,32,101153.0,22.2,41.0,0.9,0.004,21.0,0.024,0.021,0.3,16.0
818,2019-08-28,18,57,55,97,4,25,102514.0,24.3,1.5,1.0,0.001,29.0,0.031,0.026,0.1,23.0
819,2019-08-29,7,27,10,40,3,15,102175.0,23.8,5.5,0.9,0.002,24.0,0.02,0.023,0.1,16.0
820,2019-08-30,10,36,15,51,6,21,111069.0,23.8,1.5,1.4,0.002,22.0,0.022,0.023,0.1,11.0
821,2019-08-31,20,49,25,70,12,37,105067.0,23.6,0.0,1.2,0.003,23.0,0.025,0.023,0.2,14.0
822,2019-09-01,26,57,32,62,20,51,90506.0,24.0,0.0,0.8,0.002,21.0,0.023,0.02,0.1,15.0
823,2019-09-02,47,78,39,72,26,59,103503.0,22.5,10.5,0.7,0.003,29.0,0.019,0.017,0.1,18.0
824,2019-09-03,49,72,37,80,48,83,101388.0,22.5,2.5,0.6,0.002,14.0,0.0139999999999999,0.013,0.1,8.0
825,2019-09-04,26,57,35,79,52,79,101911.0,24.9,3.5,0.8,0.003,13.0,0.012,0.015,0.1,10.0
826,2019-09-05,37,72,48,96,45,72,100921.0,24.8,26.5,0.4,0.003,20.0,0.009,0.0139999999999999,0.1,10.0
827,2019-09-06,59,89,60,115,49,83,108262.0,26.2,0.5,0.9,0.003,23.0,0.01,0.015,0.1,16.0
828,2019-09-07,72,92,63,128,45,74,94697.0,26.7,3.0,3.0,0.003,11.0,0.021,0.008,0.1,3.0
829,2019-09-08,48,90,52,101,34,72,88109.0,25.7,3.5,0.6,0.004,16.0,0.019,0.017,0.1,8.0
830,2019-09-09,59,104,51,108,65,92,101725.0,24.4,10.5,0.6,0.004,15.0,0.012,0.018,0.1,9.0
831,2019-09-10,19,43,46,113,10,11,111222.0,27.8,0.0,0.8,0.003,22.0,0.02,0.021,0.2,14.0
832,2019-09-11,17,42,17,53,15,26,108874.0,25.7,0.0,1.3,0.002,24.0,0.031,0.015,0.3,18.0
833,2019-09-12,20,49,24,42,20,31,83219.0,21.3,4.0,1.6,0.003,11.0,0.027,0.01,0.5,4.0
834,2019-09-13,28,32,25,44,22,23,87124.0,23.2,0.0,1.2,0.003,14.0,0.026,0.011,0.6,4.0
835,2019-09-14,36,52,28,52,11,26,82693.0,23.6,0.0,0.9,0.003,16.0,0.025,0.015,0.5,10.0
836,2019-09-15,36,60,31,66,27,53,87005.0,25.5,0.0,1.0,0.004,17.0,0.033,0.015,0.3,12.0
837,2019-09-16,18,46,26,62,17,44,105243.0,24.7,0.0,1.0,0.004,12.0,0.023,0.015,0.4,7.0
838,2019-09-17,26,69,40,103,29,60,106441.0,23.4,0.0,1.2,0.004,14.0,0.015,0.01,0.4,8.0
839,2019-09-18,22,54,37,103,6,26,106001.0,22.4,0.0,1.3,0.004,29.0,0.017,0.016,0.4,10.0
840,2019-09-19,16,49,21,81,24,61,104510.0,20.5,0.0,0.9,0.004,33.0,0.015,0.017,0.5,13.0
841,2019-09-20,53,101,28,86,37,70,108178.0,20.1,0.0,1.2,0.004,24.0,0.009,0.016,0.4,11.0
842,2019-09-21,78,101,49,121,58,78,98384.0,18.2,43.5,1.3,0.004,10.0,0.015,0.013,0.4,5.0
843,2019-09-22,61,75,37,90,77,72,76040.0,17.2,68.0,2.0,0.003,5.0,0.0279999999999999,0.009,0.4,1.0
844,2019-09-23,64,95,29,80,29,40,103363.0,18.3,0.0,0.8,0.003,11.0,0.011,0.016,0.4,6.0
845,2019-09-24,42,77,45,98,12,35,105133.0,18.5,0.0,0.7,0.004,24.0,0.01,0.017,0.4,14.0
846,2019-09-25,22,56,44,94,23,53,104868.0,19.0,0.0,0.6,0.004,30.0,0.008,0.017,0.5,20.0
847,2019-09-26,31,60,39,83,34,56,104461.0,21.2,0.0,0.7,0.004,17.0,0.011,0.013,0.3,12.0
848,2019-09-27,51,63,39,87,51,57,108934.0,23.0,0.0,0.7,0.004,20.0,0.009,0.017,0.2,14.0
849,2019-09-28,71,86,48,100,57,67,102568.0,24.6,0.0,0.6,0.005,33.0,0.019,0.016,0.2,32.0
850,2019-09-29,56,109,46,94,59,76,91185.0,23.6,0.0,0.6,0.005,39.0,0.023,0.015,0.1,29.0
851,2019-09-30,48,91,43,82,71,96,104850.0,23.0,0.0,0.3,0.005,41.0,0.017,0.021,0.3,32.0
852,2019-10-01,46,72,33,63,51,79,100796.0,22.5,0.0,0.1,0.005,28.0,0.005,0.017,0.2,30.0
853,2019-10-02,46,69,39,76,51,69,100060.0,21.6,76.0,0.7,0.005,9.0,0.005,0.012,0.1,5.0
854,2019-10-03,54,88,38,85,56,82,88344.0,22.7,13.0,1.2,0.005,6.0,0.008,,0.1,7.0
855,2019-10-04,12,36,41,90,11,27,105676.0,22.9,0.0,1.1,0.004,20.0,0.011,0.016,0.1,17.0
856,2019-10-05,12,26,12,29,6,16,100530.0,19.4,0.0,1.6,0.003,41.0,0.018,0.01,0.1,25.0
857,2019-10-06,25,42,26,48,23,33,88322.0,18.4,0.0,1.6,0.003,11.0,0.015,0.0069999999999999,0.3,4.0
858,2019-10-07,43,52,43,61,38,52,97702.0,15.7,13.0,0.7,0.004,8.0,0.006,0.01,0.4,6.0
859,2019-10-08,19,44,48,96,7,23,104864.0,16.5,0.0,1.4,0.004,21.0,0.011,0.012,0.3,11.0
860,2019-10-09,39,72,60,107,31,55,91469.0,13.6,0.0,0.5,0.004,21.0,0.0069999999999999,0.011,0.7,9.0
861,2019-10-10,51,47,36,50,48,44,102652.0,14.7,0.0,0.6,0.004,38.0,0.005,0.018,0.4,18.0
862,2019-10-11,27,62,42,67,42,57,107918.0,17.8,0.0,0.6,0.002,38.0,0.0069999999999999,0.02,0.2,22.0
863,2019-10-12,17,60,41,88,28,72,105472.0,18.6,0.0,1.2,0.002,25.0,0.012,0.0139999999999999,0.1,14.0
864,2019-10-13,19,47,32,82,23,51,88497.0,16.9,0.0,1.1,0.003,14.0,0.01,0.011,0.1,7.0
865,2019-10-14,19,36,13,39,9,21,103471.0,15.0,0.0,1.0,0.003,28.0,0.011,0.0139999999999999,0.1,15.0
866,2019-10-15,42,60,25,64,16,32,104280.0,14.2,0.0,1.0,0.003,20.0,0.006,0.0139999999999999,0.2,11.0
867,2019-10-16,51,66,52,111,28,44,102163.0,14.5,0.0,0.6,0.003,22.0,0.006,0.017,0.1,13.0
868,2019-10-17,77,58,69,127,54,53,104913.0,14.9,0.0,0.9,0.003,31.0,0.005,0.017,0.2,21.0
869,2019-10-18,115,78,97,164,60,46,107648.0,16.4,0.0,0.9,0.003,19.0,0.008,0.015,0.1,9.0
870,2019-10-19,145,103,90,145,124,86,107876.0,16.8,0.0,0.6,0.003,16.0,0.009,0.015,0.1,9.0
871,2019-10-20,103,147,64,118,79,121,91611.0,15.6,0.0,0.3,0.003,23.0,0.01,0.015,0.1,16.0
872,2019-10-21,26,102,86,183,17,54,100577.0,15.8,0.0,0.6,0.003,23.0,0.006,0.017,0.2,18.0
873,2019-10-22,40,104,61,133,44,98,100922.0,16.9,0.0,0.7,0.003,11.0,0.008,0.017,0.3,9.0
874,2019-10-23,114,150,57,102,78,120,97458.0,16.8,0.0,0.8,0.003,19.0,0.009,0.015,0.3,11.0
875,2019-10-24,72,66,79,141,67,84,99456.0,18.9,0.0,1.4,0.003,21.0,0.015,0.015,0.2,12.0
876,2019-10-25,12,26,10,37,8,20,99744.0,17.6,0.0,0.9,0.003,23.0,0.008,0.019,0.4,14.0
877,2019-10-26,39,68,24,63,30,54,108414.0,13.2,0.0,1.6,0.003,26.0,0.016,0.012,0.3,14.0
878,2019-10-27,76,117,48,102,53,80,91185.0,11.2,0.0,0.8,0.003,26.0,0.011,0.0139999999999999,0.5,15.0
879,2019-10-28,40,167,52,218,26,175,96192.0,12.0,0.0,0.9,0.003,32.0,0.008,0.019,0.5,19.0
880,2019-10-29,33,105,42,174,32,85,93243.0,14.6,0.5,1.5,0.002,68.0,0.0139999999999999,0.015,0.1,16.0
881,2019-10-30,84,240,73,267,54,114,91234.0,11.5,0.0,0.6,0.003,28.0,0.008,0.016,0.2,15.0
882,2019-10-31,63,140,77,204,36,84,101350.0,13.1,0.0,0.9,0.003,48.0,0.008,0.018,0.3,20.0
883,2019-11-01,27,68,96,208,25,68,106270.0,15.4,0.0,0.6,0.003,112.0,0.01,0.025,0.3,41.0
884,2019-11-02,32,74,86,193,29,49,105594.0,13.7,0.0,0.2,0.003,80.0,0.004,0.024,0.5,38.0
885,2019-11-03,38,76,59,101,33,48,92113.0,14.6,0.0,0.6,0.003,72.0,0.013,0.018,0.4,38.0
886,2019-11-04,60,92,34,79,48,57,104239.0,13.7,0.0,0.5,0.003,27.0,0.0069999999999999,0.017,0.3,14.0
887,2019-11-05,47,70,59,112,42,57,103758.0,12.2,0.0,0.7,0.003,40.0,0.005,0.02,0.4,25.0
888,2019-11-06,44,74,92,163,46,71,104181.0,11.9,0.0,0.8,0.004,44.0,0.009,0.018,0.4,24.0
889,2019-11-07,21,49,65,128,24,47,103834.0,11.2,0.0,1.0,0.004,46.0,0.011,0.018,0.4,21.0
890,2019-11-08,63,98,77,143,39,73,109807.0,7.2,0.0,0.6,0.004,50.0,0.005,0.02,0.5,22.0
891,2019-11-09,157,157,119,193,84,94,105347.0,8.2,0.0,0.4,0.004,50.0,0.003,0.022,0.7,25.0
892,2019-11-10,42,79,54,131,31,84,87165.0,9.3,9.5,0.7,0.004,43.0,0.005,0.019,0.6,24.0
893,2019-11-11,23,64,38,118,17,53,103571.0,12.8,0.5,1.8,0.003,30.0,0.011,0.017,0.4,13.0
894,2019-11-12,62,117,64,161,50,92,104027.0,9.8,0.0,0.3,0.004,43.0,0.004,0.019,0.5,19.0
895,2019-11-13,20,73,42,159,9,59,92279.0,9.0,2.0,1.0,0.003,41.0,0.004,0.017,0.5,19.0
896,2019-11-14,36,101,33,118,25,57,103168.0,3.2,0.0,1.8,0.003,31.0,0.01,0.013,0.2,9.0
897,2019-11-15,35,78,69,154,35,78,92190.0,9.9,0.0,1.8,0.003,41.0,0.008,0.019,0.5,11.0
898,2019-11-16,32,52,129,209,47,80,103950.0,13.1,1.5,0.9,0.003,54.0,0.009,0.02,0.2,23.0
899,2019-11-17,53,170,78,127,52,188,84808.0,10.1,47.5,0.4,0.003,48.0,0.002,0.019,0.4,28.0
900,2019-11-18,20,103,40,220,19,98,98030.0,8.2,16.5,2.1,0.003,70.0,0.012,0.013,0.1,14.0
901,2019-11-19,25,76,58,194,20,62,91946.0,3.0,0.0,1.3,0.002,33.0,0.009,0.013,0.3,10.0
902,2019-11-20,70,170,58,151,61,124,87813.0,2.6,0.0,0.4,0.003,41.0,0.004,0.019,0.4,15.0
903,2019-11-21,115,182,40,97,90,158,103351.0,4.6,0.0,0.4,0.004,59.0,0.001,0.024,0.6,26.0
904,2019-11-22,114,140,46,89,138,181,98385.0,9.8,0.0,0.5,0.004,53.0,0.002,0.023,0.6,22.0
905,2019-11-23,119,125,69,112,132,137,94055.0,11.3,0.0,0.3,0.003,43.0,0.002,0.019,0.4,19.0
906,2019-11-24,19,34,47,83,7,30,89756.0,13.1,0.0,1.0,0.003,31.0,0.0069999999999999,0.0139999999999999,0.3,17.0
907,2019-11-25,14,30,21,50,13,30,97701.0,4.1,0.0,1.6,0.003,36.0,0.008,0.013,0.2,16.0
908,2019-11-26,43,74,53,98,38,72,102402.0,8.1,0.0,0.4,0.004,47.0,0.003,0.02,0.5,21.0
909,2019-11-27,28,64,51,96,7,21,103005.0,6.3,0.0,1.4,0.004,50.0,0.008,0.016,0.3,22.0
910,2019-11-28,27,50,27,57,39,69,97653.0,5.3,0.0,0.8,0.004,57.0,0.003,0.021,0.5,27.0
911,2019-11-29,55,75,64,124,58,74,100823.0,3.2,0.0,0.2,0.003,43.0,0.003,0.026,0.5,14.0
912,2019-11-30,90,80,69,103,52,39,101454.0,4.8,0.0,0.3,0.003,53.0,0.002,0.034,0.6,23.0
913,2019-12-01,17,34,55,82,11,30,83494.0,6.3,10.5,0.1,0.004,56.0,0.001,0.031,0.6,40.0
914,2019-12-02,16,39,31,62,10,25,97048.0,3.3,0.0,1.9,0.002,30.0,0.01,0.02,0.3,13.0
915,2019-12-03,49,84,50,94,15,43,75041.0,2.6,0.0,0.9,0.002,35.0,0.005,0.027,0.5,13.0
916,2019-12-04,34,67,60,113,13,32,77471.0,6.0,0.0,0.9,0.002,41.0,0.008,0.0279999999999999,0.5,14.0
917,2019-12-05,31,47,58,107,21,38,79559.0,0.1,0.0,2.0,0.002,28.0,0.018,0.019,0.3,12.0
918,2019-12-06,43,57,65,102,49,67,73536.0,-3.8,0.0,1.0,0.002,38.0,0.011,0.024,0.5,16.0
919,2019-12-07,135,148,110,163,52,68,73934.0,0.4,0.0,0.5,0.002,53.0,0.005,0.031,0.7,26.0
920,2019-12-08,153,134,150,208,142,142,69008.0,1.3,0.0,0.2,0.003,51.0,0.005,0.0279999999999999,0.7,37.0
921,2019-12-09,175,174,219,295,183,183,77567.0,3.1,0.0,0.2,0.003,65.0,0.005,0.034,0.7,39.0
922,2019-12-10,145,173,165,227,98,114,73978.0,7.4,0.0,0.5,0.004,99.0,0.006,0.045,0.9,53.0
923,2019-12-11,20,37,86,137,6,15,68785.0,8.1,0.0,1.8,0.003,75.0,0.011,0.036,0.6,39.0
924,2019-12-12,26,46,46,108,19,37,71449.0,2.0,0.0,1.3,0.002,31.0,0.013,0.02,0.4,12.0
925,2019-12-13,46,77,83,138,21,47,82156.0,1.1,0.0,0.5,0.003,41.0,0.002,0.031,0.6,18.0
926,2019-12-14,19,41,51,109,15,28,81717.0,4.5,0.0,1.1,0.003,53.0,0.008,0.025,0.6,23.0
927,2019-12-15,43,66,60,108,49,75,70146.0,5.1,0.0,0.4,0.003,47.0,0.005,0.0279999999999999,0.7,22.0
928,2019-12-16,70,49,89,102,68,49,76866.0,7.7,0.0,0.5,0.004,53.0,0.003,0.033,0.7,23.0
929,2019-12-17,26,24,69,86,10,18,75472.0,7.9,2.0,0.7,0.003,40.0,0.003,0.032,0.7,24.0
930,2019-12-18,21,35,27,49,19,27,77249.0,3.3,0.0,1.0,0.003,51.0,0.011,0.021,0.4,27.0
