,PM2.5,PM10,교통량합계,평균기온,일강수량,평균풍속,TPM2.5,TPM10,BPM2.5,BPM10,JPM2.5,JPM10
247,18.0,50.0,100544.0,-4.5,0.0,2.3,14,31,8,21,38,91
248,13.0,40.0,84513.0,-6.9,0.0,2.0,20,40,19,36,56,114
249,14.0,43.0,101525.0,-7.3,0.0,1.9,19,37,7,18,40,83
250,19.0,43.0,100851.0,-7.7,0.0,1.7,32,50,47,61,36,80
251,23.0,60.0,101721.0,-6.8,0.0,0.8,52,78,33,52,54,118
252,43.0,79.0,103514.0,-3.9,0.0,0.7,59,73,53,76,49,101
253,48.0,87.0,105962.0,1.6,0.0,0.9,0,0,40,109,84,195
254,33.0,80.0,102772.0,1.0,0.0,1.7,15,46,10,44,23,100
255,12.0,50.0,81068.0,-3.5,0.5,2.0,18,72,9,84,39,138
256,16.0,44.0,99633.0,-4.7,0.0,1.7,28,74,12,56,32,95
257,14.0,42.0,104344.0,-0.3,0.5,1.9,61,94,58,79,50,125
258,30.0,70.0,109742.0,5.4,0.0,1.8,40,68,13,33,64,132
259,23.0,63.0,83956.0,1.3,0.0,1.3,70,95,53,66,43,69
260,23.0,54.0,84218.0,0.7,0.0,1.0,124,162,80,101,86,125
261,15.0,50.0,80539.0,-0.7,0.0,1.6,62,81,82,92,117,158
262,19.0,53.0,81822.0,0.4,0.0,0.7,95,112,116,109,52,78
263,39.0,78.0,102547.0,2.8,0.0,0.7,117,132,141,131,78,118
264,50.0,96.0,101078.0,2.6,0.0,1.1,98,102,45,42,138,179
265,20.0,54.0,103205.0,0.7,0.0,1.4,92,103,33,43,100,129
266,27.0,57.0,104350.0,0.5,0.0,1.1,89,107,18,45,91,134
267,41.0,71.0,104290.0,5.8,0.0,2.0,94,142,23,54,59,109
