지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
642,문화,2019-07-29,28.8,0,.6
642,문화,2019-07-30,29.5,0,1.3
642,문화,2019-07-31,29.9,0,2.1
642,문화,2019-08-01,29.7,0,1.3
642,문화,2019-08-02,30.4,0,.6
642,문화,2019-08-03,30.4,0,1
642,문화,2019-08-04,30.3,0,.9
642,문화,2019-08-05,31.3,0,.9
642,문화,2019-08-06,29.5,0,1.6
642,문화,2019-08-07,28.8,17.5,1.7
642,문화,2019-08-08,28,15,.9
642,문화,2019-08-09,29.6,4,.8
642,문화,2019-08-10,30.2,0,1.5
642,문화,2019-08-11,30.1,0,2
642,문화,2019-08-12,29.9,0,1.4
642,문화,2019-08-13,30.3,0,.9
642,문화,2019-08-14,30.2,0,1.6
642,문화,2019-08-15,25.8,9,1.4
642,문화,2019-08-16,26.7,1,1.6
642,문화,2019-08-17,26.5,3.5,1.5
642,문화,2019-08-18,25.9,0,.9
642,문화,2019-08-19,26.6,0,.8
642,문화,2019-08-20,27.8,0,1.4
642,문화,2019-08-21,27.1,7,.9
642,문화,2019-08-22,26.4,30,1.2
642,문화,2019-08-23,25.2,0,1.6
642,문화,2019-08-24,23.7,0,1
642,문화,2019-08-25,24.5,0,1.2
642,문화,2019-08-26,25.8,0,.8
642,문화,2019-08-27,22.2,41,.9
642,문화,2019-08-28,24.3,1.5,1
642,문화,2019-08-29,23.8,5.5,.9
642,문화,2019-08-30,23.8,1.5,1.4
642,문화,2019-08-31,23.6,0,1.2
642,문화,2019-09-01,24,0,.8
642,문화,2019-09-02,22.5,10.5,.7
642,문화,2019-09-03,22.5,2.5,.6
642,문화,2019-09-04,24.9,3.5,.8
642,문화,2019-09-05,24.8,26.5,.4
642,문화,2019-09-06,26.2,.5,.9
642,문화,2019-09-07,26.7,3,3
642,문화,2019-09-08,25.7,3.5,.6
642,문화,2019-09-09,24.4,10.5,.6
642,문화,2019-09-10,27.8,0,.8
642,문화,2019-09-11,25.7,0,1.3
642,문화,2019-09-12,21.3,4,1.6
642,문화,2019-09-13,23.2,0,1.2
642,문화,2019-09-14,23.6,0,.9
642,문화,2019-09-15,25.5,0,1
642,문화,2019-09-16,24.7,0,1
642,문화,2019-09-17,23.4,0,1.2
642,문화,2019-09-18,22.4,0,1.3
642,문화,2019-09-19,20.5,0,.9
642,문화,2019-09-20,20.1,0,1.2
642,문화,2019-09-21,18.2,43.5,1.3
642,문화,2019-09-22,17.2,68,2
642,문화,2019-09-23,18.3,0,.8
642,문화,2019-09-24,18.5,0,.7
642,문화,2019-09-25,19,0,.6
642,문화,2019-09-26,21.2,0,.7
642,문화,2019-09-27,23,0,.7
642,문화,2019-09-28,24.6,0,.6
642,문화,2019-09-29,23.6,0,.6
642,문화,2019-09-30,23,0,.3
642,문화,2019-10-01,22.5,0,.1
642,문화,2019-10-02,21.6,76,.7
642,문화,2019-10-03,22.7,13,1.2
642,문화,2019-10-04,22.9,0,1.1
642,문화,2019-10-05,19.4,0,1.6
642,문화,2019-10-06,18.4,0,1.6
642,문화,2019-10-07,15.7,13,.7
642,문화,2019-10-08,16.5,0,1.4
642,문화,2019-10-09,13.6,0,.5
642,문화,2019-10-10,14.7,0,.6
642,문화,2019-10-11,17.8,0,.6
642,문화,2019-10-12,18.6,0,1.2
642,문화,2019-10-13,16.9,0,1.1
642,문화,2019-10-14,15,0,1
642,문화,2019-10-15,14.2,0,1
642,문화,2019-10-16,14.5,0,.6
642,문화,2019-10-17,14.9,0,.9
642,문화,2019-10-18,16.4,0,.9
642,문화,2019-10-19,16.8,0,.6
642,문화,2019-10-20,15.6,0,.3
642,문화,2019-10-21,15.8,0,.6
642,문화,2019-10-22,16.9,0,.7
642,문화,2019-10-23,16.8,0,.8
642,문화,2019-10-24,18.9,0,1.4
642,문화,2019-10-25,17.6,0,.9
642,문화,2019-10-26,13.2,0,1.6
642,문화,2019-10-27,11.2,0,.8
642,문화,2019-10-28,12,0,.9
642,문화,2019-10-29,14.6,.5,1.5
642,문화,2019-10-30,11.5,0,.6
642,문화,2019-10-31,13.1,0,.9
642,문화,2019-11-01,15.4,0,.6
642,문화,2019-11-02,13.7,0,.2
642,문화,2019-11-03,14.6,0,.6
642,문화,2019-11-04,13.7,0,.5
642,문화,2019-11-05,12.2,0,.7
642,문화,2019-11-06,11.9,0,.8
642,문화,2019-11-07,11.2,0,1
642,문화,2019-11-08,7.2,0,.6
642,문화,2019-11-09,8.2,0,.4
642,문화,2019-11-10,9.3,9.5,.7
642,문화,2019-11-11,12.8,.5,1.8
642,문화,2019-11-12,9.8,0,.3
642,문화,2019-11-13,9,2,1
642,문화,2019-11-14,3.2,0,1.8
642,문화,2019-11-15,9.9,0,1.8
642,문화,2019-11-16,13.1,1.5,.9
642,문화,2019-11-17,10.1,47.5,.4
642,문화,2019-11-18,8.2,16.5,2.1
642,문화,2019-11-19,3,0,1.3
642,문화,2019-11-20,2.6,0,.4
642,문화,2019-11-21,4.6,0,.4
642,문화,2019-11-22,9.8,0,.5
642,문화,2019-11-23,11.3,0,.3
642,문화,2019-11-24,13.1,0,1
642,문화,2019-11-25,4.1,0,1.6
642,문화,2019-11-26,8.1,0,.4
642,문화,2019-11-27,6.3,0,1.4
642,문화,2019-11-28,5.3,0,.8
642,문화,2019-11-29,3.2,0,.2
642,문화,2019-11-30,4.8,0,.3
642,문화,2019-12-01,6.3,10.5,.1
642,문화,2019-12-02,3.3,0,1.9
642,문화,2019-12-03,2.6,0,.9
642,문화,2019-12-04,6,0,.9
642,문화,2019-12-05,.1,0,2
642,문화,2019-12-06,-3.8,0,1
642,문화,2019-12-07,.4,0,.5
642,문화,2019-12-08,1.3,0,.2
642,문화,2019-12-09,3.1,0,.2
642,문화,2019-12-10,7.4,0,.5
642,문화,2019-12-11,8.1,0,1.8
642,문화,2019-12-12,2,0,1.3
642,문화,2019-12-13,1.1,0,.5
642,문화,2019-12-14,4.5,0,1.1
642,문화,2019-12-15,5.1,0,.4
642,문화,2019-12-16,7.7,0,.5
642,문화,2019-12-17,7.9,2,.7
642,문화,2019-12-18,3.3,0,1
642,문화,2019-12-19,1.4,0,1
642,문화,2019-12-20,1.3,0,1
642,문화,2019-12-21,.6,0,.5
642,문화,2019-12-22,3.3,0,.5
642,문화,2019-12-23,4.3,0,1.2
642,문화,2019-12-24,1.6,0,.6
642,문화,2019-12-25,3,0,.6
642,문화,2019-12-26,3,1.5,1.3
642,문화,2019-12-27,.7,0,1.3
642,문화,2019-12-28,.7,0,.5
642,문화,2019-12-29,2.4,9,.5
642,문화,2019-12-30,4.5,.5,1.1
642,문화,2019-12-31,-4.2,0,2.2
642,문화,2020-01-01,-.5,0,.9
642,문화,2020-01-02,1.6,0,.9
642,문화,2020-01-03,2.2,0,.9
642,문화,2020-01-04,.8,0,.6
642,문화,2020-01-05,1.3,0,.5
642,문화,2020-01-06,3.2,9.5,.5
642,문화,2020-01-07,8.4,46,.7
642,문화,2020-01-08,4.5,4,3.1
642,문화,2020-01-09,1.9,0,1.5
642,문화,2020-01-10,.6,0,.7
642,문화,2020-01-11,1.6,0,.8
642,문화,2020-01-12,1.7,0,1.5
642,문화,2020-01-13,.8,0,1.7
642,문화,2020-01-14,.5,0,.9
642,문화,2020-01-15,-.5,0,.9
642,문화,2020-01-16,-.1,0,.8
642,문화,2020-01-17,.3,0,.6
642,문화,2020-01-18,.4,0,.6
642,문화,2020-01-19,3,0,1.3
642,문화,2020-01-20,3.4,0,2
642,문화,2020-01-21,.7,0,.9
642,문화,2020-01-22,2.6,0,.5
642,문화,2020-01-23,6.2,.5,.9
642,문화,2020-01-24,4.1,0,.7
642,문화,2020-01-25,5.4,0,.4
642,문화,2020-01-26,6.6,0,1.4
642,문화,2020-01-27,5.9,3,2.3
642,문화,2020-01-28,6.7,0,.8
642,문화,2020-01-29,7,0,.7
642,문화,2020-01-30,5.8,0,.9
642,문화,2020-01-31,4,0,1.5
642,문화,2020-02-01,2.6,0,.8
642,문화,2020-02-02,2.1,0,.9
642,문화,2020-02-03,1.9,0,1.5
642,문화,2020-02-04,.3,0,1.2
642,문화,2020-02-05,-4.3,0,2.3
642,문화,2020-02-06,-4.5,0,1
642,문화,2020-02-07,-1.1,0,.9
642,문화,2020-02-08,1.9,0,1.7
642,문화,2020-02-09,.3,0,1.1
642,문화,2020-02-10,5.3,0,1
642,문화,2020-02-11,6.5,0,.5
642,문화,2020-02-12,7.6,12,.7
642,문화,2020-02-13,7.3,0,1.4
642,문화,2020-02-14,7.7,0,.7
642,문화,2020-02-15,9.8,2,.8
642,문화,2020-02-16,1.2,6,2.5
642,문화,2020-02-17,-2.8,0,2.6
642,문화,2020-02-18,-.8,0,1.6
642,문화,2020-02-19,2.3,0,.7
642,문화,2020-02-20,5.2,0,.6
642,문화,2020-02-21,7.3,1.5,.6
642,문화,2020-02-22,6.3,1.5,2.7
642,문화,2020-02-23,3.9,0,1.3
642,문화,2020-02-24,7.2,.5,.7
642,문화,2020-02-25,7.1,51.5,1.2
642,문화,2020-02-26,8.4,0,1
642,문화,2020-02-27,7,0,1
642,문화,2020-02-28,4.9,2.5,.6
642,문화,2020-02-29,7.2,0,.6
642,문화,2020-03-01,6.2,0,1.5
642,문화,2020-03-02,5.8,0,1.9
642,문화,2020-03-03,7.4,0,1.4
642,문화,2020-03-04,4,0,2.8
642,문화,2020-03-05,3.4,0,1.6
642,문화,2020-03-06,4.8,0,.7
642,문화,2020-03-07,6,0,.6
642,문화,2020-03-08,8.8,0,.8
642,문화,2020-03-09,9.9,1,.8
642,문화,2020-03-10,6.8,8,1.5
642,문화,2020-03-11,5.2,0,2.1
642,문화,2020-03-12,7.4,0,1.2
642,문화,2020-03-13,7.1,0,1.5
642,문화,2020-03-14,5,0,2
642,문화,2020-03-15,5.4,0,2.8
642,문화,2020-03-16,4.7,0,1.6
642,문화,2020-03-17,7.9,0,2
642,문화,2020-03-18,10.4,0,.8
642,문화,2020-03-19,10.4,0,3.6
642,문화,2020-03-20,9.4,0,2
642,문화,2020-03-21,14.5,0,1.5
642,문화,2020-03-22,13.6,0,1.9
642,문화,2020-03-23,10.4,0,1.9
642,문화,2020-03-24,11.3,0,1
642,문화,2020-03-25,13.8,0,.8
642,문화,2020-03-26,14.2,.5,.6
642,문화,2020-03-27,11.7,8.5,1.5
642,문화,2020-03-28,7.6,0,1.3
642,문화,2020-03-29,8.9,0,1.3
642,문화,2020-03-30,12,0,1
642,문화,2020-03-31,12.9,0,1
642,문화,2020-04-01,11.8,0,1.9
642,문화,2020-04-02,10,0,1.2
642,문화,2020-04-03,10.7,0,1.4
642,문화,2020-04-04,10,0,2.2
642,문화,2020-04-05,8,0,1.5
642,문화,2020-04-06,9.7,0,1.4
642,문화,2020-04-07,11.7,0,2
642,문화,2020-04-08,10.1,0,2.2
642,문화,2020-04-09,9.9,0,1.5
642,문화,2020-04-10,10.9,0,1.6
642,문화,2020-04-11,9,0,1.5
642,문화,2020-04-12,8.5,1,1.2
642,문화,2020-04-13,10.7,0,1.9
642,문화,2020-04-14,13,0,1.5
642,문화,2020-04-15,12.8,0,.9
642,문화,2020-04-16,15.9,0,1.6
642,문화,2020-04-17,14.5,3,2.2
642,문화,2020-04-18,13.7,0,2
642,문화,2020-04-19,11.4,12.5,1.2
642,문화,2020-04-20,11,0,2.1
642,문화,2020-04-21,9.4,0,3.2
642,문화,2020-04-22,7.3,0,2.9
642,문화,2020-04-23,9,0,2.7
642,문화,2020-04-24,10.6,0,2.9
642,문화,2020-04-25,15.7,0,3.5
642,문화,2020-04-26,13.3,0,2
642,문화,2020-04-27,12.7,0,1.5
642,문화,2020-04-28,13.6,0,1.9
642,문화,2020-04-29,16.1,0,1.5
642,문화,2020-04-30,17.8,0,1.6
642,문화,2020-05-01,22.4,0,2
642,문화,2020-05-02,22.5,0,1.4
642,문화,2020-05-03,19,11,1
642,문화,2020-05-04,20.5,0,1.6
642,문화,2020-05-05,15.9,2,.9
642,문화,2020-05-06,20.4,0,1.5
642,문화,2020-05-07,20,0,2.3
642,문화,2020-05-08,19.4,8.5,1.4
642,문화,2020-05-09,16.1,18,1.8
642,문화,2020-05-10,14.8,.5,2.1
642,문화,2020-05-11,19,0,2.2
642,문화,2020-05-12,16.7,0,3.1
642,문화,2020-05-13,16.6,0,2
642,문화,2020-05-14,20.6,0,.8
642,문화,2020-05-15,16.7,26,1.1
642,문화,2020-05-16,17.8,0,1.1
642,문화,2020-05-17,21.6,0,1.2
642,문화,2020-05-18,20,10.5,1.8
642,문화,2020-05-19,14.3,4.5,1.8
642,문화,2020-05-20,15,0,1.3
642,문화,2020-05-21,17.8,0,.9
642,문화,2020-05-22,18.9,19,1.3
642,문화,2020-05-23,20.6,0,1.2
642,문화,2020-05-24,19.7,3,1.7
642,문화,2020-05-25,18.1,0,1.1
642,문화,2020-05-26,20,0,1.6
642,문화,2020-05-27,19.8,0,1.5
642,문화,2020-05-28,19.3,0,1.5
642,문화,2020-05-29,21.6,0,1.2
642,문화,2020-05-30,22.9,0,1
642,문화,2020-05-31,21.7,0,1.3
642,문화,2020-06-01,21.2,.5,2
642,문화,2020-06-02,20.3,0,1.1
642,문화,2020-06-03,23.3,0,1.3
642,문화,2020-06-04,25.5,0,2.1
642,문화,2020-06-05,25.6,0,1.5
642,문화,2020-06-06,24.5,4.5,1.3
642,문화,2020-06-07,24.2,0,1.3
642,문화,2020-06-08,26.5,0,1
642,문화,2020-06-09,27.9,0,1.1
642,문화,2020-06-10,25.9,57.5,1.1
642,문화,2020-06-11,25.5,67.5,1
642,문화,2020-06-12,24.3,4,.8
642,문화,2020-06-13,24.4,20.5,.9
642,문화,2020-06-14,24.2,5,2.1
642,문화,2020-06-15,23.5,0,2
642,문화,2020-06-16,24.3,0,1.4
642,문화,2020-06-17,23.6,0,1.2
642,문화,2020-06-18,20.8,1,1.1
642,문화,2020-06-19,24.2,0,1.3
642,문화,2020-06-20,24.9,0,1.3
642,문화,2020-06-21,26.2,0,1.1
642,문화,2020-06-22,27.5,0,1.2
642,문화,2020-06-23,27.3,0,1.2
642,문화,2020-06-24,23.3,6,1.3
642,문화,2020-06-25,21.5,4,1.3
642,문화,2020-06-26,23.5,0,2
642,문화,2020-06-27,25.2,0,.8
642,문화,2020-06-28,24.9,0,1.2
642,문화,2020-06-29,22.5,36.5,1.4
642,문화,2020-06-30,20.4,22.5,1.8
642,문화,2020-07-01,21.3,.5,1.2
642,문화,2020-07-02,23.6,0,.8
642,문화,2020-07-03,22,1,1.2
642,문화,2020-07-04,21.7,.5,1.2
642,문화,2020-07-05,23.4,0,.9
642,문화,2020-07-06,24.2,0,1
642,문화,2020-07-07,25.4,0,1.6
642,문화,2020-07-08,25.4,0,1.3
642,문화,2020-07-09,26.9,0,1.4
642,문화,2020-07-10,25.4,13.5,1.6
642,문화,2020-07-11,26.4,0,1.3
642,문화,2020-07-12,22.3,62,1.5
642,문화,2020-07-13,19.5,98.5,2.5
642,문화,2020-07-14,20,5.5,1.4
642,문화,2020-07-15,21,8,.8
642,문화,2020-07-16,23.6,0,.8
642,문화,2020-07-17,25.5,0,.8
642,문화,2020-07-18,25.3,0,1.3
642,문화,2020-07-19,26.6,5,1.3
642,문화,2020-07-20,24.5,15.5,1.7
642,문화,2020-07-21,26.2,0,1
642,문화,2020-07-22,23.5,26.5,1
642,문화,2020-07-23,21.9,57,2
642,문화,2020-07-24,21.9,16,1.3
642,문화,2020-07-25,22.8,11.5,.8
642,문화,2020-07-26,24.2,0,.6
642,문화,2020-07-27,24.6,1,1
642,문화,2020-07-28,24,14.5,.8
642,문화,2020-07-29,24.9,97.5,.4
642,문화,2020-07-30,25.4,197,1
642,문화,2020-07-31,26.8,4.5,.9
642,문화,2020-08-01,26,9,.8
642,문화,2020-08-02,28.8,0,2.2
642,문화,2020-08-03,27.5,7.5,1.5
642,문화,2020-08-04,27.3,49,.9
642,문화,2020-08-05,27,15,.6
642,문화,2020-08-06,25.5,32.5,2.4
642,문화,2020-08-07,23.5,58,.4
642,문화,2020-08-08,23.9,59,.3
642,문화,2020-08-09,27.1,17.5,.8
642,문화,2020-08-10,26.4,32,.7
642,문화,2020-08-11,26.2,32,.9
642,문화,2020-08-12,27.4,9,.7
642,문화,2020-08-13,29,0,.8
642,문화,2020-08-14,29,0,1.8
642,문화,2020-08-15,29.6,0,2
642,문화,2020-08-16,28.6,0,1.5
642,문화,2020-08-17,29,0,.9
642,문화,2020-08-18,28.9,0,.8
642,문화,2020-08-19,29.1,0,1.3
642,문화,2020-08-20,29.1,0,1.2
642,문화,2020-08-21,28.9,0,.9
642,문화,2020-08-22,25.6,37.5,1.1
642,문화,2020-08-23,27.5,0,.8
642,문화,2020-08-24,28.7,0,1
642,문화,2020-08-25,29.7,0,1
642,문화,2020-08-26,29.3,4,1.9
642,문화,2020-08-27,29.7,3,1.8
642,문화,2020-08-28,29.1,12,1.2
642,문화,2020-08-29,27,12.5,.9
642,문화,2020-08-30,28.1,28.5,1
642,문화,2020-08-31,27.1,0,1.7
642,문화,2020-09-01,27,0,1.5
642,문화,2020-09-02,24.8,29.5,1.3
642,문화,2020-09-03,23.5,62,3.1
642,문화,2020-09-04,24.5,0,1.3
642,문화,2020-09-05,22.4,0,.9
642,문화,2020-09-06,21.1,23,1.4
642,문화,2020-09-07,19.4,27.5,3.1
642,문화,2020-09-08,24.1,0,2.4
642,문화,2020-09-09,22.4,14.5,1.3
642,문화,2020-09-10,23.6,0,.6
642,문화,2020-09-11,21.9,1.5,.6
642,문화,2020-09-12,19.6,12.5,1
642,문화,2020-09-13,21.7,0,.9
642,문화,2020-09-14,22,0,.8
642,문화,2020-09-15,23.5,0,.7
642,문화,2020-09-16,21.7,6,.4
642,문화,2020-09-17,21.7,9.5,.9
642,문화,2020-09-18,20.9,0,1.5
642,문화,2020-09-19,20.7,0,1.5
642,문화,2020-09-20,19.6,0,1
642,문화,2020-09-21,18.2,0,.6
642,문화,2020-09-22,19.5,0,1.3
642,문화,2020-09-23,19.1,0,1.2
642,문화,2020-09-24,20.2,0,1
642,문화,2020-09-25,20.3,0,1
642,문화,2020-09-26,19.8,0,1
642,문화,2020-09-27,19.4,0,.9
642,문화,2020-09-28,18.9,0,.5
642,문화,2020-09-29,18.6,0,.7
642,문화,2020-09-30,19.2,0,.4
642,문화,2020-10-01,20.1,0,.8
642,문화,2020-10-02,20.9,0,1.2
642,문화,2020-10-03,20.2,2,.5
642,문화,2020-10-04,18.3,1,1.7
642,문화,2020-10-05,14.5,0,1.2
642,문화,2020-10-06,14.7,0,.7
642,문화,2020-10-07,17,0,1.1
642,문화,2020-10-08,18,0,2
642,문화,2020-10-09,18.2,0,1.5
642,문화,2020-10-10,17.6,0,.9
642,문화,2020-10-11,18,0,.7
642,문화,2020-10-12,17.4,0,.9
642,문화,2020-10-13,13.5,0,.7
642,문화,2020-10-14,12.8,0,
642,문화,2020-10-15,11.8,0,.7
642,문화,2020-10-16,11.7,0,.1
642,문화,2020-10-17,13,0,.6
642,문화,2020-10-18,12.6,0,.6
642,문화,2020-10-19,13.2,0,
642,문화,2020-10-20,14,0,.7
642,문화,2020-10-21,13.3,0,.5
642,문화,2020-10-22,13.5,0,1.2
642,문화,2020-10-23,10.7,0,1.9
642,문화,2020-10-24,9.8,0,1.3
642,문화,2020-10-25,12.1,0,.7
642,문화,2020-10-26,12.2,0,.7
642,문화,2020-10-27,13.1,0,.6
642,문화,2020-10-28,14.2,0,.8
642,문화,2020-10-29,9.9,0,.7
642,문화,2020-10-30,11.3,0,.8
642,문화,2020-10-31,12.6,0,.6
642,문화,2020-11-01,12.7,2.5,.7
642,문화,2020-11-02,11.5,0,.9
642,문화,2020-11-03,7,0,1.9
642,문화,2020-11-04,4.9,0,.9
642,문화,2020-11-05,8.4,0,.6
642,문화,2020-11-06,12.2,0,.4
642,문화,2020-11-07,14.6,0,1.3
642,문화,2020-11-08,10.7,0,2
642,문화,2020-11-09,7.6,0,1.2
642,문화,2020-11-10,9,0,1.1
642,문화,2020-11-11,8.4,0,.6
642,문화,2020-11-12,9.5,0,.4
642,문화,2020-11-13,10,0,.5
642,문화,2020-11-14,11.1,0,.5
642,문화,2020-11-15,11.7,0,.7
642,문화,2020-11-16,11.1,0,.5
642,문화,2020-11-17,15.4,3.5,.9
642,문화,2020-11-18,15.9,2.5,.6
642,문화,2020-11-19,16.7,28,2.3
642,문화,2020-11-20,7.1,0,2.1
642,문화,2020-11-21,8.5,0,1.3
642,문화,2020-11-22,8,3,1.5
642,문화,2020-11-23,4.5,0,1.4
642,문화,2020-11-24,5.2,0,.9
642,문화,2020-11-25,5.5,0,.7
642,문화,2020-11-26,7.2,0,.7
642,문화,2020-11-27,6.2,0,1.6
642,문화,2020-11-28,3.2,0,1.8
642,문화,2020-11-29,2.5,0,1.2
642,문화,2020-11-30,1.6,0,.9
642,문화,2020-12-01,1.9,0,.8
642,문화,2020-12-02,3.6,0,.8
642,문화,2020-12-03,2,0,1.1
642,문화,2020-12-04,.6,0,.7
642,문화,2020-12-05,1.9,0,.6
642,문화,2020-12-06,3.2,0,.5
642,문화,2020-12-07,3.5,0,.9
642,문화,2020-12-08,1.1,0,.9
642,문화,2020-12-09,1.5,0,.6
642,문화,2020-12-10,6.1,0,.5
642,문화,2020-12-11,6.9,0,.5
642,문화,2020-12-12,4.7,0,1.4
642,문화,2020-12-13,1.3,4,1.3
642,문화,2020-12-14,-4.3,0,2.4
642,문화,2020-12-15,-5.4,0,1.7
642,문화,2020-12-16,-4.8,0,1.5
642,문화,2020-12-17,-3.6,0,.7
642,문화,2020-12-18,.4,0,1.3
642,문화,2020-12-19,-3.2,0,1.3
642,문화,2020-12-20,-2.2,0,.8
642,문화,2020-12-21,.4,0,.6
642,문화,2020-12-22,1.6,0,.8
642,문화,2020-12-23,4.1,0,.8
642,문화,2020-12-24,4.5,0,1.6
642,문화,2020-12-25,.6,0,1.2
642,문화,2020-12-26,1.4,0,.5
642,문화,2020-12-27,3.1,0,.3
642,문화,2020-12-28,5.2,0,.5
642,문화,2020-12-29,1.5,.5,1.2
642,문화,2020-12-30,-7.2,0,3
642,문화,2020-12-31,-7.1,0,1.1
642,문화,2021-01-01,-4.4,0,.4
642,문화,2021-01-02,-2.8,0,1.1
642,문화,2021-01-03,-3.6,0,.6
642,문화,2021-01-04,-2.6,0,.5
642,문화,2021-01-05,-2.4,0,1.6
642,문화,2021-01-06,-5.2,1,1
642,문화,2021-01-07,-10.8,.5,2.6
642,문화,2021-01-08,-13,0,1
642,문화,2021-01-09,-11.2,0,.9
642,문화,2021-01-10,-8,0,.5
642,문화,2021-01-11,-5.6,0,.5
642,문화,2021-01-12,-1.6,0,1
642,문화,2021-01-13,3.9,0,1.3
642,문화,2021-01-14,3.5,0,.7
642,문화,2021-01-15,6.4,0,1.8
642,문화,2021-01-16,-.9,0,2.2
642,문화,2021-01-17,-3.1,0,1.7
642,문화,2021-01-18,-1.1,1,1.9
642,문화,2021-01-19,-4.5,0,1.1
642,문화,2021-01-20,-1,0,.4
642,문화,2021-01-21,4.7,3.5,.4
642,문화,2021-01-22,7.5,2.5,.6
642,문화,2021-01-23,8.7,0,1.3
642,문화,2021-01-24,7.8,0,1.1
642,문화,2021-01-25,8.3,0,1
642,문화,2021-01-26,5.9,2.5,1
642,문화,2021-01-27,3.5,0,1.4
642,문화,2021-01-28,-1.1,1,2.2
642,문화,2021-01-29,-5.6,0,1.9
642,문화,2021-01-30,.4,0,.9
642,문화,2021-01-31,3.9,0,.5
642,문화,2021-02-01,7.4,6.5,1.8
642,문화,2021-02-02,-2.4,0,2.5
642,문화,2021-02-03,-1.4,0,1.5
642,문화,2021-02-04,-.3,0,1.6
642,문화,2021-02-05,1.6,0,.8
642,문화,2021-02-06,7,0,1.9
642,문화,2021-02-07,6.3,0,1.5
642,문화,2021-02-08,-1.3,0,2.3
642,문화,2021-02-09,.2,0,1
642,문화,2021-02-10,2.6,0,.9
642,문화,2021-02-11,5.4,0,.6
642,문화,2021-02-12,6.9,0,.5
642,문화,2021-02-13,7.6,0,.5
642,문화,2021-02-14,9.5,.5,.6
642,문화,2021-02-15,3.3,0,2.8
642,문화,2021-02-16,-2.5,3,1.9
642,문화,2021-02-17,-6.1,0,2.9
642,문화,2021-02-18,-4.2,0,1.9
642,문화,2021-02-19,2.8,0,1.7
642,문화,2021-02-20,10.7,0,2.2
642,문화,2021-02-21,14.4,0,2.1
642,문화,2021-02-22,12,0,2.2
642,문화,2021-02-23,2.4,0,1.5
642,문화,2021-02-24,4.6,0,.9
642,문화,2021-02-25,4.8,0,.6
642,문화,2021-02-26,8.7,0,1.6
642,문화,2021-02-27,8.7,0,2.1
642,문화,2021-02-28,7.4,0,.8
642,문화,2021-03-01,8.3,44.5,1.1
642,문화,2021-03-02,2.9,0,1.5
642,문화,2021-03-03,4.3,0,.6
642,문화,2021-03-04,5.8,2.5,.5
642,문화,2021-03-05,8.8,0,.9
642,문화,2021-03-06,7.7,0,1.5
642,문화,2021-03-07,6.9,0,1.1
642,문화,2021-03-08,8,0,.7
642,문화,2021-03-09,8.1,0,1
642,문화,2021-03-10,9.4,0,1
642,문화,2021-03-11,11.2,0,.9
642,문화,2021-03-12,8.4,14,1.1
642,문화,2021-03-13,8.8,0,.8
642,문화,2021-03-14,9.4,0,.9
642,문화,2021-03-15,11.6,0,1.1
642,문화,2021-03-16,11.5,.5,1.7
642,문화,2021-03-17,9.9,0,1
642,문화,2021-03-18,12.5,0,1
642,문화,2021-03-19,13.6,0,1.6
642,문화,2021-03-20,9,6,1
642,문화,2021-03-21,6.7,0,2.5
642,문화,2021-03-22,6.7,0,2.5
642,문화,2021-03-23,9.5,0,1.8
642,문화,2021-03-24,11.1,0,1.2
642,문화,2021-03-25,12.6,0,1
642,문화,2021-03-26,14.5,0,.8
642,문화,2021-03-27,12.5,15.5,.7
642,문화,2021-03-28,10.2,2,2.3
642,문화,2021-03-29,12.3,0,2
642,문화,2021-03-30,12.8,0,1.1
642,문화,2021-03-31,14.5,0,.9
642,문화,2021-04-01,15.5,0,2.3
642,문화,2021-04-02,17.7,0,1.8
642,문화,2021-04-03,16.5,23,.9
642,문화,2021-04-04,11.7,7,1.4
642,문화,2021-04-05,11.4,0,1.3
642,문화,2021-04-06,13.1,0,1.5
642,문화,2021-04-07,14.6,0,1.2
642,문화,2021-04-08,13.5,0,1.4
642,문화,2021-04-09,12,0,1.7
642,문화,2021-04-10,13,0,1.3
642,문화,2021-04-11,15.6,0,1.1
642,문화,2021-04-12,13.6,14,1.2
642,문화,2021-04-13,11.4,2,2.8
642,문화,2021-04-14,9.4,0,1.9
642,문화,2021-04-15,11.4,0,1
642,문화,2021-04-16,11.9,0,1.4
642,문화,2021-04-17,10.4,0,1.9
642,문화,2021-04-18,10.8,0,2.4
642,문화,2021-04-19,13.3,0,1.8
642,문화,2021-04-20,15.7,0,1
642,문화,2021-04-21,19.8,0,1.2
642,문화,2021-04-22,22,0,1.5
642,문화,2021-04-23,19.1,0,2.3
642,문화,2021-04-24,18.4,0,1.4
642,문화,2021-04-25,17.6,0,1.4
642,문화,2021-04-26,17.1,0,1.4
642,문화,2021-04-27,16.5,0,1.1
642,문화,2021-04-28,17,0,1.6
642,문화,2021-04-29,16.5,1,1.8
642,문화,2021-04-30,13.3,0,3.1
642,문화,2021-05-01,10.8,.5,2.1
642,문화,2021-05-02,12.5,3.5,1.6
642,문화,2021-05-03,15.1,0,1.4
642,문화,2021-05-04,17.1,4.5,.9
642,문화,2021-05-05,15.2,2,2.3
642,문화,2021-05-06,15.9,0,1
642,문화,2021-05-07,15.2,3,2
642,문화,2021-05-08,16.2,0,2.6
642,문화,2021-05-09,17,0,2
642,문화,2021-05-10,12.6,9.5,.9
